epoch,box,dfl,cls,Recall,Precision,mAP@50,mAP
142,1.272,1.272,0.746,0.723,0.723,0.831,0.528
143,1.273,1.273,0.747,0.723,0.723,0.832,0.528
144,1.268,1.268,0.743,0.723,0.723,0.831,0.528
145,1.271,1.271,0.744,0.723,0.723,0.832,0.528
146,1.267,1.267,0.744,0.723,0.723,0.832,0.528
147,1.265,1.265,0.743,0.724,0.724,0.832,0.528
148,1.266,1.266,0.744,0.724,0.724,0.832,0.528
149,1.267,1.267,0.744,0.724,0.724,0.832,0.528
150,1.266,1.266,0.741,0.724,0.724,0.832,0.528
151,1.269,1.269,0.741,0.724,0.724,0.832,0.528
152,1.274,1.274,0.745,0.724,0.724,0.832,0.528
153,1.265,1.265,0.743,0.724,0.724,0.832,0.528
154,1.269,1.269,0.743,0.724,0.724,0.832,0.528
155,1.266,1.266,0.741,0.724,0.724,0.832,0.528
156,1.264,1.264,0.741,0.724,0.724,0.832,0.528
157,1.266,1.266,0.740,0.724,0.724,0.832,0.528
158,1.268,1.268,0.743,0.724,0.724,0.832,0.528
159,1.265,1.265,0.740,0.724,0.724,0.832,0.529
160,1.266,1.266,0.745,0.724,0.724,0.832,0.529
161,1.264,1.264,0.741,0.724,0.724,0.832,0.529
162,1.266,1.266,0.739,0.724,0.724,0.832,0.529
163,1.264,1.264,0.740,0.724,0.724,0.832,0.529
164,1.262,1.262,0.740,0.724,0.724,0.832,0.529
165,1.268,1.268,0.740,0.724,0.724,0.832,0.529
166,1.269,1.269,0.741,0.725,0.725,0.832,0.529
167,1.263,1.263,0.741,0.724,0.724,0.832,0.529
168,1.265,1.265,0.740,0.724,0.724,0.832,0.529
169,1.257,1.257,0.733,0.724,0.724,0.832,0.529
170,1.266,1.266,0.741,0.724,0.724,0.832,0.529
171,1.262,1.262,0.736,0.724,0.724,0.832,0.529
172,1.259,1.259,0.736,0.725,0.725,0.832,0.529
173,1.259,1.259,0.736,0.724,0.724,0.832,0.529
174,1.257,1.257,0.739,0.725,0.725,0.832,0.529
175,1.259,1.259,0.733,0.725,0.725,0.832,0.529
176,1.258,1.258,0.736,0.726,0.726,0.832,0.529
177,1.264,1.264,0.739,0.725,0.725,0.832,0.529
178,1.258,1.258,0.735,0.725,0.725,0.832,0.529
179,1.256,1.256,0.731,0.726,0.726,0.832,0.530
180,1.257,1.257,0.733,0.725,0.725,0.832,0.530
181,1.257,1.257,0.732,0.726,0.726,0.833,0.530
182,1.257,1.257,0.734,0.726,0.726,0.833,0.530
183,1.255,1.255,0.732,0.726,0.726,0.833,0.530
184,1.260,1.260,0.737,0.726,0.726,0.833,0.530
185,1.257,1.257,0.734,0.726,0.726,0.833,0.530
186,1.253,1.253,0.734,0.726,0.726,0.833,0.530
187,1.252,1.252,0.731,0.726,0.726,0.833,0.530
188,1.254,1.254,0.730,0.726,0.726,0.833,0.530
189,1.260,1.260,0.735,0.726,0.726,0.833,0.530
190,1.258,1.258,0.732,0.726,0.726,0.833,0.530
191,1.247,1.247,0.728,0.727,0.727,0.833,0.530
192,1.255,1.255,0.733,0.727,0.727,0.833,0.530
193,1.257,1.257,0.732,0.727,0.727,0.833,0.530
194,1.257,1.257,0.729,0.727,0.727,0.833,0.530
195,1.252,1.252,0.731,0.727,0.727,0.833,0.530
196,1.250,1.250,0.730,0.727,0.727,0.833,0.530
197,1.254,1.254,0.732,0.727,0.727,0.833,0.530
198,1.256,1.256,0.730,0.727,0.727,0.833,0.530
